2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual/best_status
2022-03-31 08:03:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_perceptual/visual
2022-03-31 08:03:37 |[057]options.py  | Available gpu: 0
2022-03-31 08:03:37 |[048]train.py    | Create train dataset successfully!
2022-03-31 08:03:37 |[049]train.py    | Training: [10093] iterations for each epoch
2022-03-31 08:03:37 |[052]train.py    | Create val dataset successfully!
2022-03-31 08:03:37 |[053]train.py    | Validating: [898] iterations for each epoch
2022-03-31 08:03:37 |[056]train.py    | Preparing for experiment: [qsrm_x4_perceptual]
2022-03-31 16:41:17 |[212]solver.py   | Epoch:   31 | PSNR: 27.53 | Loss: 6.9208 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 16:57:26 |[212]solver.py   | Epoch:   32 | PSNR: 27.55 | Loss: 6.9144 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 17:13:30 |[212]solver.py   | Epoch:   33 | PSNR: 27.49 | Loss: 6.9292 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 17:29:40 |[212]solver.py   | Epoch:   34 | PSNR: 27.44 | Loss: 6.9368 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 17:45:42 |[212]solver.py   | Epoch:   35 | PSNR: 27.51 | Loss: 6.9371 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 18:01:54 |[212]solver.py   | Epoch:   36 | PSNR: 27.54 | Loss: 6.9234 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 18:18:04 |[212]solver.py   | Epoch:   37 | PSNR: 27.53 | Loss: 6.9087 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 18:34:14 |[212]solver.py   | Epoch:   38 | PSNR: 27.54 | Loss: 6.9308 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 18:50:20 |[212]solver.py   | Epoch:   39 | PSNR: 27.43 | Loss: 6.9182 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 19:06:26 |[212]solver.py   | Epoch:   40 | PSNR: 27.52 | Loss: 6.9165 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 19:22:32 |[212]solver.py   | Epoch:   41 | PSNR: 27.53 | Loss: 6.9194 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [29]
2022-03-31 19:38:40 |[212]solver.py   | Epoch:   42 | PSNR: 27.56 | Loss: 6.9092 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 19:54:46 |[212]solver.py   | Epoch:   43 | PSNR: 27.52 | Loss: 6.9189 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 20:10:52 |[212]solver.py   | Epoch:   44 | PSNR: 27.52 | Loss: 6.9040 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 20:26:59 |[212]solver.py   | Epoch:   45 | PSNR: 27.53 | Loss: 6.9241 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 20:43:04 |[212]solver.py   | Epoch:   46 | PSNR: 27.50 | Loss: 6.9312 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 20:59:11 |[212]solver.py   | Epoch:   47 | PSNR: 27.53 | Loss: 6.9081 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
2022-03-31 21:15:14 |[212]solver.py   | Epoch:   48 | PSNR: 27.56 | Loss: 6.9117 | lr: 1.00e-03 | Best_PSNR: 27.56 in Epoch [42]
